;movieId;title;genres;date
4763;4858;Hail Columbia!;Documentary IMAX;(1982)
10902;44153;Chronos;Documentary IMAX;(1985)
589;595;Beauty and the Beast;Animation Children Fantasy Musical Romance IMAX;(1991)
4769;4864;Titanica;Documentary IMAX;(1992)
360;364;Lion King, The;Adventure Animation Children Drama Musical IMAX;(1994)
4761;4856;Destiny in Space;Documentary IMAX;(1994)
29984;129395;Into the Deep;Documentary IMAX;(1994)
4364;4458;Africa: The Serengeti;Documentary IMAX;(1994)
13198;63781;Living Sea, The;Documentary IMAX;(1995)
148;150;Apollo 13;Adventure Drama IMAX;(1995)
32;33;Wings of Courage;Adventure Romance IMAX;(1995)
36;37;Across the Sea of Time;Documentary IMAX;(1995)
4365;4459;Alaska: Spirit of the Wild;Documentary IMAX;(1997)
4361;4455;Thrill Ride: The Science of Fun;Adventure Documentary IMAX;(1997)
4766;4861;Mission to Mir;Documentary IMAX;(1997)
1724;1797;Everest;Documentary IMAX;(1998)
4351;4445;T-Rex: Back to the Cretaceous;Adventure Documentary IMAX;(1998)
4360;4454;More;Animation Drama Sci-Fi IMAX;(1998)
4367;4461;Siegfried & Roy: The Magic Box;Documentary IMAX;(1999)
4366;4460;Encounter in the Third Dimension;IMAX;(1999)
4288;4382;Wolves;Documentary IMAX;(1999)
3073;3159;Fantasia 2000;Animation Children Musical IMAX;(1999)
4359;4453;Michael Jordan to the Max;Documentary IMAX;(2000)
9348;27456;Shackleton's Antarctic Adventure;Documentary IMAX;(2001)
4362;4456;Haunted Castle;Animation Horror IMAX;(2001)
4363;4457;All Access;Documentary Musical IMAX;(2001)
5784;5882;Treasure Planet;Adventure Animation Children Sci-Fi IMAX;(2002)
5282;5378;Star Wars: Episode II - Attack of the Clones;Action Adventure Sci-Fi IMAX;(2002)
25246;116253;IMAX: Coral Reef Adventure;Children Documentary IMAX;(2003)
6823;6934;Matrix Revolutions, The;Action Adventure Sci-Fi Thriller IMAX;(2003)
6261;6365;Matrix Reloaded, The;Action Adventure Sci-Fi Thriller IMAX;(2003)
6191;6289;Ghosts of the Abyss;Documentary IMAX;(2003)
8282;8965;Polar Express, The;Adventure Animation Children Fantasy IMAX;(2004)
7953;8636;Spider-Man 2;Action Adventure Sci-Fi IMAX;(2004)
7769;8368;Harry Potter and the Prisoner of Azkaban;Adventure Fantasy IMAX;(2004)
10186;33794;Batman Begins;Action Crime IMAX;(2005)
10620;40815;Harry Potter and the Goblet of Fire;Adventure Fantasy Thriller IMAX;(2005)
9832;32031;Robots;Adventure Animation Children Comedy Fantasy Sci-Fi IMAX;(2005)
9594;30793;Charlie and the Chocolate Factory;Adventure Children Comedy Fantasy IMAX;(2005)
9713;31429;Aliens of the Deep;Documentary IMAX;(2005)
11192;46972;Night at the Museum;Action Comedy Fantasy IMAX;(2006)
11210;47124;Ant Bully, The;Adventure Animation Children Comedy Fantasy IMAX;(2006)
11476;49274;Happy Feet;Adventure Animation Children Comedy IMAX;(2006)
11381;48414;Open Season;Adventure Animation Children Comedy IMAX;(2006)
11136;46530;Superman Returns;Action Adventure Sci-Fi IMAX;(2006)
10885;43934;Deep Sea 3D;Documentary IMAX;(2006)
11040;45442;Poseidon;Action Adventure Thriller IMAX;(2006)
10908;44191;V for Vendetta;Action Sci-Fi Thriller IMAX;(2006)
16094;81094;Mummies: Secrets of the Pharaohs (a.k.a. Mummies 3D) ;Documentary IMAX;(2007)
12263;55995;Beowulf;Action Adventure Animation Fantasy IMAX;(2007)
